,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2478, 2492)",-3.5519293201936284,-3.602523498817594,1.8026002625749877,0.4774973060647704,2.6468405009032385,0.2840798678433,2001-02-01,2001-02-26,1.6027186383803111,1.6535098538042765,-0.8039710664318995,-0.9611835355845385,take profit,0.11087123109814064,0.12095232520653758,-0.19985651028952045,-0.05775440944839172,16.76,2.818995095053937,2.6340447877917144,13.93,33.59,3.5142284036242013,3.336481066942464,28.12
"(2375, 2476)",-2.290660614951852,,1.841861274878473,,1.2694787346402565,,2001-02-12,2001-02-26,0.5507098834640052,,1.2092393390651321,,cointegration_invalid,0.12454962313843852,,-0.22940312765939774,,27.6,3.3178157727231046,,28.18,16.56,2.8069901489571136,,15.51
"(2375, 2421)",-2.330000614308792,-2.549554504258565,1.5535016437160236,0.1787487519258465,1.2085487009398184,0.3268067998748041,2001-02-19,2001-02-26,0.5646627912640954,0.5636881668639199,-0.05443510298481281,-0.05047589958179467,reversion,0.09340428861867396,0.09306762548690548,0.14510371589923587,-0.016635721900486455,26.32,3.2703291064571163,3.3386125064705343,28.18,6.94,1.937301774518713,1.814824742159051,6.14
"(1471, 2327)",-3.3001895068803484,,2.093667428146526,,2.814048573240926,,2001-02-01,2001-03-01,0.6708473767503935,,2.750217578247277,,cointegration_invalid,0.14463766615109006,,0.3028231705036686,,6.13,1.81319474994812,,5.76,71.48,4.2694176902912275,,72.33
"(2484, 3026)",-3.30568118401681,-3.190561515748271,1.8070470846733715,0.40698183885731015,2.2972970086716944,0.313424223486378,2001-02-05,2001-03-01,1.6142983148249548,1.7039046789186088,-1.9462393062944396,-2.2392766126477857,take profit,0.17785239302062497,0.16025406588211089,0.321387648310103,0.06522049441706201,31.03,3.434954478460289,3.4236109764990554,30.68,50.41,3.9201895680945396,3.659450643423124,38.84
"(2457, 2478)",-3.88337131034758,,1.6417158992619976,,2.6731041774036357,,2001-02-12,2001-03-01,0.8455338808508271,,0.5017331875765072,,cointegration_invalid,0.09335756353698918,,-0.15326659637503726,,17.87,2.8831233291713367,,15.64,16.22,2.7862450486872667,,13.17
"(2421, 2492)",-1.9601147799544463,,2.1528815772406333,,1.0471754029006495,,2001-02-12,2001-03-05,1.698781122981902,,0.6681307687708403,,cointegration_invalid,0.18949755235010982,,-0.4079657893867439,,6.46,1.8656293177945105,,6.28,30.86,3.4294608469350147,,28.12
"(2421, 2483)",-2.056874576424416,,1.8806517513148358,,1.104160003282425,,2001-02-19,2001-03-05,0.9472535349578207,,1.3561361851724207,,cointegration_invalid,0.11851798848544921,,-0.2228910626074716,,6.94,1.937301774518713,,6.28,19.46,2.968361076757859,,17.47
"(2492, 3026)",-2.1346189357212,,1.865960944254756,,1.1576009321811378,,2001-02-19,2001-03-12,0.7219303412644276,,1.1422487245326993,,cointegration_invalid,0.09006193644562129,,0.16805205597148332,,32.85,3.4919517449306197,,29.12,46.12,3.8312466954008584,,51.9
"(2413, 2476)",-1.9610654668989862,,1.5774372330451973,,1.0282247103538138,,2001-02-19,2001-03-12,1.9797118376406748,,-4.57315994160226,,cointegration_invalid,0.29131066740101624,,-0.4595242931416088,,51.44,3.940416079929364,,50.35,15.93,2.768204123921957,,15.62
"(2431, 2492)",-3.6777272044050284,-2.830556478941916,1.9770032907573731,4.050391960490937,3.359080361099893,3.6754482983514127,2001-02-26,2001-03-12,1.4503160314770314,1.490043498109507,0.7413156616254185,0.6436915329475611,stop_loss,0.12109114164909443,0.14453920628471836,-0.23939758552182688,-0.5854404391113643,7.06,1.9544450515051506,2.2235418856535927,9.24,28.12,3.336481066942464,3.3714252233284854,29.12
"(2327, 2428)",-2.6694748265351054,,1.719784216082262,,1.5177186944075463,,2001-02-26,2001-03-12,2.6241183950251887,,-8.644537287993414,,cointegration_invalid,0.5019844663413072,,-0.8633049619322577,,78.29,4.360419880919823,,73.18,6.92,1.9344157696295783,,8.27
